2015D,198.1715,12.6005
2015C,199.626958333,-14.6123888889
2015B,193.648041667,-12.5718333333
2015A,145.314791667,35.8881666667
2014dy,42.2410833333,-0.760694444444
2014dx,127.409166667,-17.2964722222
2014dw,167.701708333,-37.4506111111
2014dv,119.625416667,-14.3541666667
2014du,36.597125,27.6596666667
2014dt,185.489875,4.47180555556
2014ds,122.818541667,25.1798333333
2014dr,50.6932916667,0.15575
2014dq,335.817041667,-28.9755
2014dp,124.90825,-22.57075
2014do,124.430791667,-30.1225277778
2014dn,64.476125,-56.6125555556
2014dm,62.0297083333,-8.827
2014dl,247.442041667,8.64183333333
2014dk,7.04983333333,7.16219444444
2014dj,14.4174166667,43.7928333333
2014di,22.5141666667,-42.6968611111
2014dh,314.135041667,-0.546416666667
2014dg,57.0824166667,70.1318055556
2014df,56.0999583333,-44.6689166667
2014de,47.13225,14.4250833333
2014dd,45.901125,46.9477777778
2014dc,52.729625,-47.9808611111
2014db,63.41025,25.4795
2014da,7.313,2.866
2014cz,8.06058333333,-41.3821944444
2014cy,356.066791667,10.7701388889
2014cx,14.9492916667,-7.57183333333
2014cw,333.860625,-10.4762777778
2014cv,239.764958333,51.305
2014cu,327.696458333,-73.9259444444
2014ct,149.854833333,-0.255333333333
2014cs,323.972333333,-62.0943888889
2014cr,294.275541667,-42.2973611111
2014cq,140.873125,-63.6745277778
2014cp,36.3769166667,-25.6272222222
2014co,17.6509166667,-30.2271111111
2014cn,182.298083333,29.1724722222
2014cm,272.1275,-52.0698333333
2014cl,34.0379166667,-11.9340555556
2014ck,341.412,73.1618611111
2014cj,99.125,-66.7316666667
2014ci,338.52,68.44
2014ch,239.629583333,12.8665555556
2014cg,301.145208333,12.738
2014cf,345.470708333,14.4140277778
2014ce,351.92025,23.5892777778
2014cd,65.946625,-51.6008055556
2014cc,98.4906666667,-34.8076666667
2014cb,222.707916667,-13.5176944444
2014ca,253.33725,-72.5144444444
2014bz,209.017458333,-43.5860833333
2014by,216.952375,11.5617777778
2014bx,295.971875,-70.6311111111
2014bw,253.936541667,26.2579444444
2014bv,186.129083333,75.5357222222
2014bu,20.2435416667,21.9999444444
2014bt,325.796375,-38.9682777778
2014bs,205.5405,4.26241666667
2014br,344.961208333,-61.5561666667
2014bq,241.85575,36.79325
2014bp,234.130166667,46.9039444444
2014bo,246.942291667,41.7399166667
2014bn,318.805416667,2.18955555556
2014bm,265.634,67.5949444444
2014bl,201.411708333,25.9594166667
2014bk,208.510083333,20.00675
2014bj,290.663125,43.8908055556
2014bi,181.512458333,47.4926388889
2014bh,186.236166667,21.3613888889
2014bg,218.94125,24.7216388889
2014bf,239.396791667,18.0298888889
2014be,242.396333333,42.4417777778
2014bd,222.700291667,9.38008333333
2014bc,184.740458333,47.3031388889
2014bb,203.204625,41.8708611111
2014ba,343.758208333,-39.6595833333
2014az,353.095166667,15.8529444444
2014ay,268.772625,18.2573333333
2014ax,244.075666667,64.10175
2014aw,242.598375,47.0778611111
2014av,135.083416667,52.4911111111
2014au,214.8705,-5.62669444444
2014at,326.56175,-46.5225277778
2014as,210.227041667,40.9832222222
2014ar,175.245416667,-44.4849166667
2014aq,168.144666667,12.0735555556
2014ap,172.555708333,24.1686666667
2014ao,128.638833333,-2.54336111111
2014an,222.928875,8.57013888889
2014am,230.827,18.2925833333
2014al,246.730333333,33.6401111111
2014ak,117.18375,54.61125
2014aj,77.9331666667,67.4915
2014ai,139.934041667,33.7637777778
2014ah,178.878458333,11.9239722222
2014ag,247.6695,44.5096388889
2014af,131.838166667,73.2204722222
2014ae,169.837291667,72.8159166667
2014ad,179.435166667,-10.1710277778
2014ac,226.167041667,12.6316666667
2014ab,207.024958333,7.38788888889
2014aa,176.264916667,19.9737222222
2014Z,26.0332916667,-61.1187222222
2014Y,110.889125,54.4417222222
2014X,182.667583333,-34.0613055556
2014W,178.676208333,44.0216944444
2014V,177.275833333,-9.72602777778
2014U,176.217333333,19.4549444444
2014T,219.02075,2.34283333333
2014S,160.104083333,53.9662777778
2014R,142.55125,55.85375
2014Q,124.709166667,57.1008055556
2014P,163.516666667,-45.8121111111
2014O,151.698041667,-47.69125
2014N,37.7454583333,-44.4228611111
2014M,228.821708333,75.4859722222
2014L,184.702833333,14.4120833333
2014K,132.783958333,71.84275
2014J,148.925583333,69.6738888889
2014I,85.5825,-25.5444166667
2014H,54.2561666667,32.0838055556
2014G,163.642208333,54.2991388889
2014F,277.632458333,67.9915833333
2014E,180.880166667,2.04325
2014D,182.653166667,18.8265
2014C,339.273333333,34.4088611111
2014B,196.07375,-10.3336666667
2014A,199.247333333,-16.6325
2013hx,23.8886666667,-57.9640555556
2013hw,158.230958333,-1.92044444444
2013hv,162.746958333,-23.6581666667
2013hu,172.03275,-13.1926666667
2013ht,163.962291667,-9.86177777778
2013hs,29.7237083333,5.59038888889
2013hr,224.753541667,49.8132222222
2013hq,336.055041667,36.0835555556
2013hp,348.498833333,24.8941388889
2013ho,121.745916667,46.1365555556
2013hn,207.246541667,-30.2906944444
2013hm,267.702041667,47.1974722222
2013hl,177.500666667,21.3379444444
2013hk,45.5452083333,15.9274444444
2013hj,138.026208333,-15.4294444444
2013hi,48.6030416667,46.1802777778
2013hh,172.268208333,17.2359722222
2013hg,182.482041667,29.8975833333
2013hf,96.2919583333,-37.3448055556
2013he,193.276125,36.8166944444
2013hd,58.5891666667,17.5846666667
2013hc,270.852458333,70.2251666667
2013hb,27.693,33.1098888889
2013ha,93.9577083333,66.8387222222
2013gz,266.615416667,30.7036666667
