# This is a bar (= "|") separated ascii table having the following columns: 
#  1 SNAME: SINGG name
#  2 NEDNAME: NED name
#  3 NNEDMATCH: Number of NED position matches
#  4 SEPNED: Separation master to best NED match [arcsec]
#  5 OBJTYP: Object type from NED
#  6 MORPH: Morphology from NED
#  7 NREF: Number of references for best NED match
#  8 NREFTOT: Sum of all references to NED matched objects
#  9 HAFLAG: Halpha status flag [-1:1] (master)
# 10 UVFLAG: GALEX status flag [-1:3] (master)
# 11 RA: RA master db (J2000) [deg]
# 12 DEC: Dec master db (J2000) [deg]
# 13 LMHI: Log(M_HI [Msun])
# 14 VHEL: Heliocentric velocity (from HIPASS) [km/s]
# 15 MAGR: R-band apparent magnitude [ABmag] (SINGG)
# 16 MUER: R-band surface bright dust corr [ABmag/arcsec^2] (SINGG)
# 17 RER: R-band half-light radius [arcsec] (SINGG)
# 18 RMAXR: Maximum radius for R-band and H-alpha [arcsec] (SINGG)
# 19 FLXNUV: NUV flux full aperture [erg/cm^2/sec/A] (SUNGG)
# 20 SENUV: NUV eff surf bright [ABmag/arcsec^2] (SUNGG)
# 21 RENUV: NUV half-light radius [arcsec] (SUNGG)
# 22 RMAXNUV: UV full flux aperture radius [arcsec] (SUNGG)
J0047-20:S2|NGC 0247C|2|1.32800|GPair|Im|5|5|-1|3|11.907070|-20.452440|10.3405|6155.30|0.00000|0.00000|0.00000|0.00000|2.54800e-15|26.3000|32.3000|66.0000
J0047-20:S3||0|383413.|||0|0|-1|3|11.904760|-20.486179|10.3405|6155.30|0.00000|0.00000|0.00000|0.00000|3.77400e-15|25.9300|34.9000|72.6000
J0047-20:S4|ESO 540- G 025|0|12.7352|G|SB(s)c pec:    HII|21|21|-1|3|11.906870|-20.522850|10.3405|6155.30|0.00000|0.00000|0.00000|0.00000|1.01000e-14|24.9000|39.9000|84.0000
J0047-20:S5|NGC 0247A|0|1.57000|G||2|2|-1|3|11.866800|-20.397751|10.3405|6155.30|0.00000|0.00000|0.00000|0.00000|6.68800e-16|26.7500|22.2000|48.0000
J0047-25|NGC 0253|89|15.5308|G|SAB(s)c;Sbrst;Sy2HII|1274|1452|1|3|11.892756|-25.288563|9.40495|243.000|6.77894|20.5384|301.687|1045.70|1.02000e-12|24.7400|557.500|1115.00
J0049-20|UGCA 015|3|3.52171|G|IB(s)m:|80|83|1|3|12.454068|-21.015448|6.98861|294.600|14.9169|24.3220|31.8365|92.3381|4.35100e-15|24.8968|24.1930|85.8000
J0050-31|ESO 411-IG 021|1|5.51468|G|Irr|4|5|-1|3|12.677750|-31.328899|10.2852|5841.70|0.00000|0.00000|0.00000|0.00000|3.59300e-15|25.9800|32.4000|66.0000
J0052-31|NGC 0289|2|1.94016|G|SAB(rs)bc|154|156|1|3|13.175894|-31.205980|10.3433|1628.90|10.4543|19.8032|40.0571|421.108|9.53200e-14|25.6000|165.000|330.000
J0056-09|NGC 0309|12|0.0525214|G|SAB(r)c        HII|114|121|-1|3|14.177760|-9.9138718|10.4904|5660.30|0.00000|0.00000|0.00000|0.00000|3.44700e-14|23.5285|29.3438|145.200
J0059-07|NGC 0337|0|4.24935|G|SB(s)d         HII|155|155|-1|3|14.957880|-7.5788202|9.80879|1648.80|0.00000|0.00000|0.00000|0.00000|5.21800e-14|22.6300|80.0000|162.000
J0101-07|NGC 0337A|0|1.02013|G|SAB(s)dm|47|47|1|3|15.391196|-7.5879717|9.75506|1074.80|11.5754|22.5646|83.4134|230.133|3.31200e-14|25.0900|127.500|257.400
J0104-06|MCG -01-03-088|0|2.10885|G|SBm? sp|13|13|-99|-1|16.285417|-6.2792222|9.29094|2425.20|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0105-06|MCG -01-03-085|0|6.26115|G|SAB(rs)d|58|58|-1|0|16.270833|-6.2140556|9.55379|1096.00|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0111+01|UGC 00749|0|0.0834409|G|Sdm:           HII|55|55|-1|3|17.878189|1.3211260|10.2838|6774.30|0.00000|0.00000|0.00000|0.00000|1.69800e-14|21.8748|14.7680|112.200
J0111+01:S1||0|302553.|||0|0|-1|3|17.878059|1.3220000|10.2838|6774.30|0.00000|0.00000|0.00000|0.00000|1.69200e-14|24.8400|57.8000|118.800
J0111+01:S2|UGC 00747|0|0.399897|G|Sc|15|15|-1|3|17.847639|1.2786601|10.2838|6774.30|0.00000|0.00000|0.00000|0.00000|2.00700e-15|26.7300|47.4000|96.0000
J0112+00|NGC 0428|9|0.0165518|G|SAB(s)m        HII|178|187|-1|3|18.232121|0.98155600|9.69433|1151.90|0.00000|0.00000|0.00000|0.00000|1.00200e-13|23.4546|61.5980|240.000
J0122+00|NGC 0493|10|7.50348|G|SAB(s)cd: sp|85|93|-1|1|20.539167|0.94655556|9.90032|2340.60|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0125-18|NGC 0539|0|2.58320|G|SB(rs)c        HII|16|16|-1|0|21.340000|-18.164361|10.5189|9598.50|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0130-22|NGC 0578|2|0.0406597|G|SAB(rs)c|152|154|-1|3|22.621201|-22.667370|9.89139|1627.60|0.00000|0.00000|0.00000|0.00000|1.10400e-13|22.1553|38.6660|264.000
J0134-29|NGC 0613|2|7.07502|G|SB(rs)bc;HII   Sy|284|286|0|0|23.577500|-29.417167|9.61478|1481.80|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0135-41|NGC 0625|26|3.07251|G|SB(s)m? sp     HII|158|183|1|3|23.768684|-41.436916|8.08626|395.700|10.6906|21.7089|71.3580|399.115|8.53000e-14|21.8160|33.4300|217.800
J0140-05:S1|APMUKS(BJ) B013743.03-055635.0|0|3.02837|G||1|1|1|3|25.057415|-5.6907096|8.14237|1283.70|16.2058|23.5753|13.0050|44.6213|1.93900e-15|24.8042|14.9210|72.0000
J0140-05:S2|MCG -01-05-014|0|0.301838|G|SAB(s)d:|19|19|1|3|25.115946|-5.5206385|8.14237|1283.70|14.1376|22.8389|24.9542|79.5795|5.10100e-15|24.3522|24.7417|171.600
J0140-41|ESO 297- G 020|1|1.72789|G|SB(s)d|8|8|-1|0|25.198750|-41.212972|8.81475|1440.10|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0141-05|MCG -01-05-017|0|0.0208461|G|SAB(s)m:|24|24|-1|3|25.279619|-5.5681109|9.10025|1498.10|0.00000|0.00000|0.00000|0.00000|1.25600e-14|23.8969|29.8070|132.000
J0145-43|ESO 245- G 005|1|24.4081|G|IB(s)m|79|79|1|3|26.266947|-43.591320|8.57688|391.000|12.1625|23.6518|86.1791|254.629|7.34500e-14|23.5245|49.2214|217.800
J0147-52|NGC 0685|0|8.89130|G|SB(rs)d|78|78|0|-1|26.925000|-52.763194|9.54520|1362.10|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
